subject,session.num,IP_LABEL,IA_LABEL,IA_ID,trial,condition,phase,session,video_file,video_id,video_latency,IA_AREA,IA_AVERAGE_FIX_PUPIL_SIZE,IA_DWELL_TIME,IA_FIXATION_COUNT,IA_MAX_FIX_PUPIL_SIZE,TRIAL_DWELL_TIME,TRIAL_FIXATION_COUNT,TRIAL_IA_COUNT,TRIAL_TOTAL_VISITED_IA_COUNT,Dog_ID,Date1,Date2,Breed,sex,neutered,age,Order_condition
dog_1,1,video_ip,IA_end_launch_ball,5,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,96000,7676,981,4,7947,4237,11,8,5,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,video_ip,IA_end_con_target_ball,6,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,96000,8447,1370,4,9494,4237,11,8,5,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,video_ip,IA_end_exp_target_ball,7,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,96000,6885.5,1281,2,6893,4237,11,8,5,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,video_ip,target_ball,8,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,6361.73,NA,0,0,NA,4237,11,8,5,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,video_ip,launch_ball,9,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,6361.73,NA,0,0,NA,4237,11,8,5,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,video_ip,target_ball_exp,10,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,6361.73,9087,139,1,9087,4237,11,8,5,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,video_ip,launch_hab,11,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,6361.73,NA,0,0,NA,4237,11,8,5,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,video_ip,screen_IA,12,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,786432,7838.55,4237,11,9494,4237,11,8,5,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,launch_IP_long,IA_end_launch_ball,5,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,96000,7907,387,2,7947,3444,7,8,4,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,launch_IP_long,IA_end_con_target_ball,6,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,96000,7603.5,1171,2,7836,3444,7,8,4,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,launch_IP_long,IA_end_exp_target_ball,7,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,96000,6885.5,1281,2,6893,3444,7,8,4,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,launch_IP_long,target_ball,8,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,6361.73,NA,0,0,NA,3444,7,8,4,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,launch_IP_long,launch_ball,9,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,6361.73,NA,0,0,NA,3444,7,8,4,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,launch_IP_long,target_ball_exp,10,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,6361.73,NA,0,0,NA,3444,7,8,4,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,launch_IP_long,launch_hab,11,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,6361.73,NA,0,0,NA,3444,7,8,4,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
dog_1,1,launch_IP_long,screen_IA,12,1,hab,hab1,test_session,contact_habituation_100fps.mp4,1,4500,786432,7536.14,3444,7,7961,3444,7,8,4,12,27/10/2020,06/11/2020,Border Collie,m,yes,19,test_first
